source_id,ra,dec,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,g_rp,ruwe,l,b,w1mag,w2mag,allwise_id,wise_cc_flags,jmag,hmag,kmag,twomass_id,G-W2,J-K,dist_pc,abs_g
752088188444504704,160.06667198863855,38.261763567873366,6.836223070840272,0.926865,213.78659,-117.78123697992496,-178.41605797018397,20.491514,21.37976,18.92939,2.4503708,1.5621243,1.1001188,182.4663112421804,60.43701074276458,15.251,14.984,J104016.05+381543.3,0000,16.37700080871582,15.637999534606934,15.708999633789062,10401619+3815449,5.507513794006346,0.6680011749267578,146.27960346488305,14.665595128094857
6510198937789096448,336.797347867904,-52.489991097920665,5.428552904383264,0.62769324,220.16624,43.31487437321925,-215.86336819146155,20.485395,21.357218,19.083263,2.2739544,1.402132,1.0512888,339.5945159844223,-53.10905310825841,17.197,16.504,J222714.05-522914.5,0000,,,,,3.9813952899169927,,184.21115490880706,14.158815373175267
5076508995771629184,42.98011643573239,-24.52279176192049,4.692332633419298,0.75452477,240.91579,215.3748799981124,-107.95406113084442,20.480942,21.275948,19.128174,2.1477737,1.352768,1.209816,214.25679834481045,-62.82703949185819,17.327,17.178,J025154.02-243129.1,0000,,,,,3.302942503540038,,213.11362133150843,13.837885955557242
4931389025866636160,23.020024722664505,-45.932016208606434,4.893276066109845,0.6736876,203.72992,124.14093226804584,-161.53918443888602,20.477974,21.307926,19.16002,2.1479053,1.3179531,1.0322074,282.3827863365918,-69.54067085357327,18.055,17.433,J013205.65-455619.0,0000,,,,,3.0449734354248044,,204.36206469646422,13.925972591170451
6568240095034469888,331.71776968799367,-43.78067657076564,4.260466385603254,0.71575725,235.17967,-87.58270818978556,-218.26303007395825,20.460814,21.164696,19.123055,2.0416412,1.337759,0.9933171,355.1776409179363,-53.0729796456006,16.604,16.523,J220652.30-434649.1,0000,,,,,3.937813282836913,,234.71608727606625,13.608099715709846
3571528231637782400,177.88234262553243,-15.859953797076413,5.661081576597414,0.8744961,207.95128,-186.77937359227752,-91.4177132367404,20.456528,21.30665,18.998856,2.3077946,1.4576721,1.0621252,282.4896509956173,44.620781056653634,15.244,13.369,J115131.03-155153.7,0000,16.593000411987305,15.614999771118164,16.014999389648438,11513199-1551347,7.08752756512451,0.5780010223388672,176.64468997124908,14.221025065723838
1059935432584113664,161.57311342448776,67.0426860005292,3.9664885133135512,0.49453235,205.98235,5.884250418640399,-205.8982843509167,20.451693,21.330132,19.084267,2.2458649,1.3674259,0.98729956,139.812492778349,45.76822720390814,18.15,17.397,J104618.78+670213.3,0000,,,,,3.0546936408691394,,252.11216335141066,13.443724004680671
2364569716255364736,3.984482453028552,-20.87388635260582,6.758670878761793,1.0556217,203.39754,141.34229298672122,-146.2631628500393,20.448908,22.195541,18.975756,3.2197857,1.4731522,1.09064,68.69917034481409,-79.76647605419173,14.984,14.69,J001556.20-205225.0,0000,16.148000717163086,15.746000289916992,15.11400032043457,00155609-2052236,5.758908419616699,1.0340003967285156,147.9580849457198,14.598214492449912
1583032315745957376,188.69242002330708,60.92267495222679,7.17855779106375,0.65397835,208.55968,-205.9531513441004,32.87002885865424,20.442919,21.659924,19.025295,2.6346283,1.4176235,1.1123824,126.56096831135284,56.08797190426372,17.501,17.2,J123447.37+605535.5,0000,15.708999633789062,15.123000144958496,14.73900032043457,12344671+6055210,3.2429182370605467,0.9699993133544922,139.30374722968074,14.723105005127698
3681166961314058624,188.76845872349887,-4.352271446855283,6.199968828532617,0.72493005,234.01779,-230.98937230466225,-37.52644775176606,20.440102,21.148294,18.950329,2.1979656,1.4897728,1.0239742,295.1577813664301,58.27225709194799,15.368,15.21,J123504.50-042108.0,0000,16.329999923706055,15.746000289916992,15.310999870300291,12350470-0421076,5.230101961853027,1.0190000534057615,161.291133496985,14.40204953004747
