source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,parallax_error,pmra_error,pmdec_error
554112319475587072,57.67644460596794,76.58808833309459,20.689422216476824,-17.644447420066232,84.1215155703274,10.911321,1.7218571,0.029340504,0.030625293,0.02924555
557717892980808960,65.14265583248525,81.53178029661157,24.99961974131864,-115.9989224955798,-79.85800426121888,12.046809,2.3845892,0.019533189,0.02256842,0.024181662
564226215840955904,10.573014999886778,77.81828458679776,27.670050458504956,323.6257230052027,343.44319546821646,12.390228,2.3093119,0.014027825,0.017050024,0.016690804
565169459378433152,3.418168032647945,80.66661102105323,51.97771491425637,250.6147702400354,184.89016570489278,10.218442,2.1866322,0.01565575,0.018968903,0.01929428
566775227390650752,4.218649370092623,81.66353408267612,29.63729212565823,-5.706935510085285,-22.673135987963008,8.431366,1.0215178,0.016492592,0.016737254,0.01743607
786252145024226688,173.8741256516469,46.518465011985995,23.27856449368226,-240.3522155730519,-48.52428790594446,16.41321,3.5032597,0.06309149,0.038590353,0.0547786
791297254127958784,176.7650118992601,50.97132845785943,42.465780642683896,61.4928968144108,-107.3221391514138,9.009053,1.544776,0.012703048,0.009029077,0.012510721
801454370748067456,145.06548522403477,40.29191687721773,23.14000589558276,-250.91836845547246,-313.35543475275665,17.610783,4.4660263,0.14335297,0.11930092,0.105647154
808270896163473920,149.83657630240822,43.83947827911241,36.722516603060804,-100.49907557948774,-220.2180525730501,12.854988,2.8237638,0.028148375,0.023958819,0.023746511
809030864857201920,153.6281452701482,43.90396586957436,31.6327172753658,-754.6934142212452,-597.1235407242991,12.707209,2.2637024,0.05226658,0.040324274,0.047117826
811471054819228288,142.88669409613888,39.06059924755868,25.604529029176323,-36.126915677122895,48.75577001184022,12.08657,2.2214746,0.018157419,0.016012162,0.014002872
824134821727350272,152.4199655205393,50.81065123841999,20.041940640451546,-216.7426491444978,-347.5875315768769,15.303345,3.0108194,0.026245348,0.025176862,0.024087591
824260750168184064,143.75320703387146,45.98477558652657,23.071970344762487,-6.587401728813979,28.03137339758334,16.336706,3.722413,0.18858398,0.18018092,0.14574066
829777377965435392,160.9998091113076,46.206637340087894,26.952834215816086,-256.65359498957406,-70.26540019448831,14.387344,,0.114249036,0.06857884,0.112132795
834162608290205312,159.62279685413424,48.528721326770395,32.19909578864852,-196.2698331561536,-87.8698064087632,12.265499,2.6416502,0.028566714,0.021166272,0.024804074
834467310450060544,156.67351870943835,48.08164249708562,20.752792060717624,42.77162450012908,-29.522001141098322,8.180484,0.81154156,0.02427342,0.017657265,0.022371568
840906772097185152,178.14274712440522,54.37973797453397,27.876674006494046,-170.3656166498443,-171.10908205832405,14.879971,2.9958181,0.021577578,0.018098447,0.022860857
843668431775736192,165.86499779872995,54.52647438114238,23.399767651190157,-136.29708974405128,76.29086118091787,9.28744,1.0659246,0.026192881,0.018328365,0.022513518
850884943198349312,163.47794136865738,56.270905088347845,20.930245490266266,-237.48888323497337,-145.79671193924764,15.965375,3.1312494,0.040213715,0.027625417,0.036073893
856550486098139648,167.97309351193283,56.958444549088476,36.74624622334596,-620.1296701822217,47.94119098107867,16.284409,4.182599,0.05017228,0.03944109,0.044457313
859082970614616448,171.7196686211406,59.3211759213149,39.32530377952526,156.24831450037868,-54.37825210396038,15.123275,0.12452698,0.026079513,0.021699205,0.02911962
859117673950306048,172.83471379531383,59.71263149792824,39.28185247816221,-85.84312793135136,-21.970852478224863,14.068414,3.0933523,0.019999383,0.017836288,0.018161874
911438518873180928,129.15860667866042,39.03490923334937,22.786539418811454,70.82544852985141,-492.54871224526954,11.274852,1.6148338,0.07678911,0.066453874,0.058606483
921952117778154240,121.72910641215296,42.291293750076996,50.35499420555119,-224.67305594418417,-273.246549725955,12.761721,2.9510279,0.028408349,0.025766024,0.021908622
922950955371956608,121.09562688904623,43.96162258418843,37.45996460269288,146.24780729932002,-13.566362810128897,9.314705,1.5642719,0.015580185,0.014326806,0.011235194
926002203218885504,116.85726998867094,44.14602260166337,26.08988218684488,-87.64381720581424,-165.09202049698158,14.910612,-0.13677883,0.031303048,0.029862193,0.022817839
936080326798296320,119.69611107453622,51.67828792926773,21.876693707260298,-118.45504299859596,-383.7225255482048,11.709412,2.0111666,0.016212305,0.017792067,0.014698015
963127934886450816,90.79343916206881,45.92572596566351,20.272187861573602,81.92210064341934,-49.25132695156286,14.466131,2.705783,0.022919407,0.023769641,0.017992713
969752767319650560,90.68888873622609,47.810310395737986,36.549164738797764,27.943648081867668,89.39650326044489,12.451752,,0.21959633,0.47925434,0.4121788
970050253935929344,92.12544831682622,49.03379812541307,24.624968238860873,-199.60893392549355,-286.4386839348348,13.833151,2.9157944,0.49138573,0.4273706,0.33327082
