source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe
850966238339900672,161.85405518131637,56.06523828270541,10.011693706189993,15.231485,379.32123,-379.0763459050148,-13.627502039360525,20.416307,20.989588,19.65937,1.3302174,0.25351557,1.0009487
918237791404732416,129.1727429967353,45.94894020019655,14.770163649961601,49.300255,179.38882,-65.49565057399165,-167.00500410438724,19.206547,19.747131,18.522928,1.2242031,0.36409065,1.0128548
926168362619104256,118.8247694459225,44.516948450664124,14.24250694291172,61.25507,12.006088,-9.9610847953413,6.702458182861407,18.860334,,,,0.76734257,0.9635366
927016571415037056,114.75225822849264,45.39298567423019,11.962999574685073,40.08162,33.714603,-27.167982580390756,-19.964350242500824,19.382454,21.753336,17.875105,3.878231,0.80963105,0.9770863
930068265936597632,125.45628620401955,45.53161239678007,36.61748656982759,243.67233,584.78253,-358.1701368199713,-462.2604545109948,17.837559,21.241705,16.285383,4.9563217,0.69570225,0.84890115
962577285717437952,93.72013961092314,45.614950881052984,43.17637552713655,237.40285,111.65076,16.658499437872173,-110.40102108418381,17.597042,20.626898,16.041506,4.585392,0.949848,1.0010906
974434384750952064,109.09868809579334,46.00262532918406,12.368946881263934,20.999693,87.0854,47.89174372548794,-72.73409691014558,20.006998,20.65688,19.456001,1.2008781,0.0,0.8849633
976846404024595840,111.6561017154536,49.29550909044157,11.435874453291651,32.48291,138.25514,-47.13988318678424,-129.9704461266053,19.452555,20.824532,17.962088,2.862444,0.0,0.9546653
977142683754098816,111.70089164910424,49.838807332377115,10.385572283862668,25.691313,62.737892,-52.95229906226065,-33.64665418183299,19.753242,20.257936,19.147358,1.1105785,0.0,1.0052145
1000750680166939008,103.08994704880453,57.5190313719323,13.000036168313857,54.128532,40.978165,-7.244441838112987,-40.332717435921126,19.10232,19.52241,18.58352,0.93888855,0.6165393,1.0531251
1015768939554753920,136.15161758724713,49.881804075168326,12.13135161329571,52.709763,295.7289,42.159475904474405,-292.7083405077499,19.084715,19.435272,18.55707,0.87820244,0.0,0.96480805
1017131170037877248,133.10142750770598,51.65626858918292,21.25717515037347,102.95267,546.68335,-28.531192574414575,-545.9383149936166,17.956179,20.783636,16.455708,4.3279285,0.875721,0.99018097
1018776623547161856,143.19332534731964,51.7226257895005,15.779782338143317,71.041626,246.524,-243.69729088532148,37.22515736306307,19.020462,19.356958,18.344137,1.0128212,0.14580671,1.0268017
1043467561603246976,136.7414172810749,63.22790033430921,10.395433121439472,34.11676,171.35623,-163.78764846562447,-50.364327825231626,19.814852,20.172981,19.32812,0.844862,0.0,0.984909
1050402662475992320,150.60360384331315,61.14806895567207,23.719951740492437,189.98804,556.7481,-453.10776903838786,-323.5147160289065,18.463394,19.108463,17.720917,1.3875465,0.0,0.98713195
1054610222893247104,169.77151824266323,63.617641227385654,16.475756435850247,64.985214,363.41104,363.2937735823076,9.231574226433223,19.412205,20.359087,18.630674,1.7284126,0.0,0.95579183
1055313016981775488,162.00506255332718,63.57959817014357,29.116321168044408,455.0166,296.77878,-261.58163027651335,-140.1880633843592,17.326159,17.764097,16.732971,1.031126,0.0,0.9984575
1064978578888570496,145.374121043978,65.19209698102347,21.74921334879379,164.10791,1177.1781,869.3213522030328,-793.7435187767327,18.43831,19.071733,17.705397,1.3663368,0.0,0.9772044
1071186318459220864,144.91085626184454,70.03525175859096,19.020188277755377,173.69374,57.865276,47.05768880565155,-33.674385645603195,18.322062,18.841097,17.67816,1.1629372,0.15206791,1.0463275
1108133482565575808,112.38643908835621,68.05057277102586,16.605541533088047,95.55306,200.1447,199.65541094186528,-13.986237325958387,18.863394,19.43279,18.181658,1.251133,0.0,1.016961
1111382608148401792,109.66057126344994,71.99916360329743,11.386818381879387,52.61173,154.60092,-49.86706448569443,-146.3376878071884,19.394966,19.818066,18.82217,0.9958954,0.0,0.98332936
