source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref
22579953040728576,36.89358640345692,7.829618921671206,21.8286821180599,587.686,553.4758,549.2947019099378,-67.9032649337509,15.0870905,16.691706,13.833888,2.8578176,0.06437647,1.0785542,LP  530-10,PM*,7
2432133430176485504,355.51975129052295,-13.259502296493045,6.5426470387822215,57.834232,553.0646,383.3155066440204,-398.6849117229255,17.615738,18.65163,16.624372,2.027258,0.0,0.98647267,LP  763-52,PM*,6
2857357354511522048,4.530367235086404,28.890529955994158,5.4883158405228105,22.397602,552.7902,552.6776482515577,11.156006667619272,19.157156,20.934948,17.937414,2.9975338,0.0,1.0025271,LSR J0018+2853,PM*,3
3728074738695246336,207.26032349188756,11.91808296512253,35.28863584039436,222.88785,551.8556,163.5379073891818,-527.0672835892263,17.810802,18.423466,17.079851,1.3436146,0.0,1.0313004,G  63-58,PM*,8
1992199487673191552,348.8885646492927,52.13880930535919,27.671146829972848,411.447,551.67773,354.855357565197,422.4050316690128,16.753698,19.29849,15.335545,3.962946,0.39078003,1.0580156,2MASS J23153262+5208127,PM*,3
22579953040728320,36.89293615941934,7.829994637251473,21.927176636676737,537.673,551.67633,546.6663310874399,-74.18013437434986,15.171529,16.842806,13.920387,2.9224186,0.11893356,1.1628964,LP  530-10,PM*,7
4989655789155314176,17.056734270834134,-37.246591400484206,10.304045296869624,240.33562,548.676,-63.93043281630175,-544.9388049128542,16.215155,17.705383,15.015036,2.6903477,0.076614894,1.0554183,PM J01082-3714E,PM*,2
4989655789155314176,17.056734270834134,-37.246591400484206,10.304045296869624,240.33562,548.676,-63.93043281630175,-544.9388049128542,16.215155,17.705383,15.015036,2.6903477,0.076614894,1.0554183,PM J01082-3714E,PM*,2
132450507872804608,37.40234088683852,31.10909408173068,6.572256708065335,276.88394,548.6492,529.9800003529009,-141.90531851148586,14.603914,15.42797,13.710939,1.7170305,0.0,1.0240576,G  36-22,PM*,7
4989655789155314048,17.05478080528167,-37.246638200327546,10.372120958729882,349.0961,548.0997,-64.20961949135953,-544.3256423728733,15.503165,16.865438,14.3472805,2.518158,0.0,1.0481958,PM J01082-3714E,PM*,2
4989655789155314048,17.05478080528167,-37.246638200327546,10.372120958729882,349.0961,548.0997,-64.20961949135953,-544.3256423728733,15.503165,16.865438,14.3472805,2.518158,0.0,1.0481958,PM J01082-3714E,PM*,2
6789445444949376384,321.1353796795742,-28.289632066221778,8.465041664824188,86.728386,547.5558,174.71891134814496,-518.9322239487595,16.662441,17.846111,15.585237,2.2608747,0.0,0.945888,LP  929-43,PM*,6
441339741142847872,44.69255062665367,53.91164648638276,6.424848514300516,180.927,547.01086,436.9787400066903,-329.04474127786995,15.359689,16.207945,14.415588,1.7923565,0.111852944,1.1291393,LSR J0258+5354,PM*,4
1017131170037877248,133.10142750770598,51.65626858918292,21.25717515037347,102.95267,546.68335,-28.531192574414572,-545.9383149936166,17.956179,20.783636,16.455708,4.3279285,0.875721,0.99018097,2MASS J08522440+5139319,PM*,7
182713994744802944,81.1768882432575,33.971332515134534,6.489232065365731,47.438473,546.4821,367.9254549135941,-404.07125957820045,17.38742,18.649162,16.28934,2.3598232,0.43821827,1.1311545,LSR J0524+3358,PM*,5
