source_id,ra,dec,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,g_rp,ruwe,l,b
4931389025866636160,23.020024722664505,-45.932016208606434,4.893276066109845,0.6736876,203.72992,124.14093226804584,-161.53918443888602,20.477974,21.307926,19.16002,2.1479053,1.3179531,1.0322074,282.3827863365918,-69.54067085357327
6568240095034469888,331.71776968799367,-43.78067657076564,4.260466385603254,0.71575725,235.17967,-87.58270818978556,-218.26303007395825,20.460814,21.164696,19.123055,2.0416412,1.337759,0.9933171,355.1776409179363,-53.0729796456006
3571528231637782400,177.88234262553243,-15.859953797076413,5.661081576597414,0.8744961,207.95128,-186.77937359227752,-91.4177132367404,20.456528,21.30665,18.998856,2.3077946,1.4576721,1.0621252,282.4896509956173,44.620781056653634
1059935432584113664,161.57311342448776,67.0426860005292,3.9664885133135512,0.49453235,205.98235,5.884250418640399,-205.8982843509167,20.451693,21.330132,19.084267,2.2458649,1.3674259,0.98729956,139.812492778349,45.76822720390814
2364569716255364736,3.984482453028552,-20.87388635260582,6.758670878761793,1.0556217,203.39754,141.34229298672122,-146.2631628500393,20.448908,22.195541,18.975756,3.2197857,1.4731522,1.09064,68.69917034481409,-79.76647605419173
1583032315745957376,188.69242002330708,60.92267495222679,7.17855779106375,0.65397835,208.55968,-205.9531513441004,32.87002885865424,20.442919,21.659924,19.025295,2.6346283,1.4176235,1.1123824,126.56096831135284,56.08797190426372
3681166961314058624,188.76845872349887,-4.352271446855283,6.199968828532617,0.72493005,234.01779,-230.98937230466225,-37.52644775176606,20.440102,21.148294,18.950329,2.1979656,1.4897728,1.0239742,295.1577813664301,58.27225709194799
2837245332629888768,343.38901631089885,24.32473570906497,7.206312078264535,0.85668457,223.63083,188.60658541343227,120.1594911580354,20.439312,22.066957,18.917776,3.1491814,1.5215359,1.1552429,91.31905447020075,-31.213159296155023
3737079842005610496,195.78318809359783,11.905550635618036,6.911057727014227,0.92109823,236.12526,-220.26029991814303,85.09133820811931,20.438833,21.478205,18.874231,2.6039734,1.5646019,1.0600601,313.7174849896971,74.53188039943309
2639481703765176832,353.2987684668275,-3.594265517882285,6.361224996732893,1.0475831,226.57689,90.61554877418772,-207.66777898906471,20.429937,21.420418,19.040298,2.3801193,1.3896389,1.1085663,81.07896808925469,-59.94680021412778
5041568268587233920,19.359640115802563,-23.03580491287765,5.231389912001516,0.8634496,240.16925,194.8794964057834,-140.36827303780572,20.42808,21.234804,18.936388,2.2984161,1.4916916,1.1116849,179.54150667588144,-82.83228119541872
4986813620316370688,13.743166026956224,-41.73311566060611,3.746147592580464,0.69383717,215.19328,-152.58419695067474,-151.74389301161202,20.426249,21.410294,19.389277,2.021017,1.036972,1.1534793,300.31894868987905,-75.37719597214178
4902587834172851200,11.280356190946383,-61.32968572275311,5.087754326388225,0.6068061,204.48482,150.53276891689072,-138.3976990766675,20.416374,21.030386,19.104727,1.9256592,1.3116474,0.9752848,304.2791209101082,-55.78203858345858
4942637167257186944,29.283719542638348,-45.930520802644274,6.663717910193794,0.47822818,219.26003,69.81338501486408,-207.84862572571583,20.401724,21.486876,18.901194,2.585682,1.5005302,1.020845,272.5354351592132,-67.12827059779094
1442687249962612480,200.1349069350096,22.327518706083985,4.130696594547591,0.70805514,240.8523,-112.68034869746958,-212.86842787200996,20.399822,21.32944,19.10294,2.2264996,1.2968826,1.0722551,358.50397720765363,81.83516087171911
4865663519292944384,67.29467214421108,-37.83001141372446,4.474816373541091,0.5812019,234.90346,52.25254974814887,-229.01814010616476,20.385635,21.76413,19.06905,2.6950798,1.3165855,1.0808104,240.56598373556125,-43.512461630779626
3475698749530283136,184.74978112085455,-28.00412062343129,7.536654392905321,0.89608353,244.28816,41.26253810940988,-240.77813485339496,20.381367,21.592772,18.924854,2.6679173,1.4565125,1.1092429,294.258159725248,34.320697151358026
5134182881773607680,27.96601487424969,-24.104736983635387,6.867329104258259,0.6652218,201.0055,-23.04600931833729,-199.6799729952466,20.374613,21.717932,18.921234,2.7966976,1.4533787,1.0342034,203.7711863260953,-76.05664706656016
