source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref,W1,W2,WISEA,J,H,K,2MASS,G_W2,W1_W2,J_K,G_J
830239138485572224,157.8491324699124,45.52339445319689,62.57685431082019,2411.2534,840.3095,-577.3241957852479,-610.5872978188678,13.160847,14.58937,11.775997,2.8133726,0.18273768,1.7172735,BD+46  1635B,PM*,4,6.6570000648498535,6.293000221252441,WISEA,14.345000267028809,13.394000053405762,13.477999687194824,10312536+4531252,6.867846778747559,0.3639998435974121,0.8670005798339844,-1.1841532670288082
6537262866750892416,353.5740221409481,-40.736312170832,29.331334578336023,1136.567,837.39056,807.7368641875378,-220.87131661805807,14.354544,16.145878,13.085192,3.060686,0.1008033,1.1463737,LP 1035-33,PM*,8,17.823999404907227,18.242000579833984,WISEA,11.248000144958496,10.713000297546387,10.4350004196167,23341658-4044071,-3.8874565798339837,-0.4180011749267578,0.8129997253417969,3.1065438550415045
830239138487431808,157.84731232129542,45.52340641448857,62.52016704002569,3002.4072,821.18176,-566.2165955824817,-594.7589727468139,8.291128,9.077447,7.4273505,1.6500964,0.1147194,0.9621849,BD+46  1635B,PM*,4,6.6570000648498535,6.293000221252441,WISEA,14.345000267028809,13.394000053405762,13.477999687194824,10312536+4531252,1.998127778747559,0.3639998435974121,0.8670005798339844,-6.053872267028808
1121562647004892800,129.32605454102102,70.62221209254467,19.97095185010053,610.8326,815.5798,98.61364841201328,-809.5959886407048,15.846747,17.711418,14.559986,3.151432,0.10195645,1.040191,LSR J0837+7037,PM*,7,17.163000106811523,17.30900001525879,WISEA,12.727999687194824,12.25100040435791,11.970999717712402,08371792+7037337,-1.4622530152587885,-0.14599990844726562,0.7569999694824219,3.1187473128051764
6803857877726735616,316.99109139759105,-25.360404073095044,23.830696056498702,224.30981,808.2987,660.6330142269868,-465.7368219043589,15.143074,16.852936,13.887846,2.9650898,0.47205862,0.9085959,LP  872-43,PM*,9,15.359999656677246,14.229000091552734,WISEA,12.21399974822998,11.678999900817871,11.458000183105469,21075706-2521297,0.914073908447266,1.1309995651245117,0.7559995651245117,2.92907425177002
2482910290191753856,17.375944180224703,-5.125202221404193,15.76108587500431,580.7196,807.5016,807.4273834769507,-10.945849496144772,14.487874,15.893268,13.323313,2.5699549,0.082221694,1.1961275,G 270-155,PM*,9,12.395000457763672,11.97599983215332,WISEA,11.751999855041504,11.274999618530273,11.052000045776367,01092928-0507306,2.5118741678466794,0.41900062561035156,0.6999998092651367,2.735874144958496
2482910290191753856,17.375944180224703,-5.125202221404193,15.76108587500431,580.7196,807.5016,807.4273834769507,-10.945849496144772,14.487874,15.893268,13.323313,2.5699549,0.082221694,1.1961275,G 270-155,PM*,9,12.395000457763672,11.97599983215332,WISEA,11.751999855041504,11.274999618530273,11.052000045776367,01092928-0507306,2.5118741678466794,0.41900062561035156,0.6999998092651367,2.735874144958496
2482910290191753856,17.375944180224703,-5.125202221404193,15.76108587500431,580.7196,807.5016,807.4273834769507,-10.945849496144772,14.487874,15.893268,13.323313,2.5699549,0.082221694,1.1961275,G 270-155,PM*,9,12.395000457763672,11.97599983215332,WISEA,11.751999855041504,11.274999618530273,11.052000045776367,01092928-0507306,2.5118741678466794,0.41900062561035156,0.6999998092651367,2.735874144958496
2482910290191753856,17.375944180224703,-5.125202221404193,15.76108587500431,580.7196,807.5016,807.4273834769507,-10.945849496144772,14.487874,15.893268,13.323313,2.5699549,0.082221694,1.1961275,G 270-155,PM*,9,12.395000457763672,11.97599983215332,WISEA,11.751999855041504,11.274999618530273,11.052000045776367,01092928-0507306,2.5118741678466794,0.41900062561035156,0.6999998092651367,2.735874144958496
4347692902941910528,239.1893088060332,-9.100523041103262,12.706531011580692,349.77716,806.9453,-133.9183849881481,-795.7553599480921,15.394792,16.75866,14.246126,2.5125332,0.052335225,1.034967,LP  684-4,PM*,6,17.19499969482422,17.55299949645996,WISEA,14.63700008392334,14.22700023651123,13.956000328063965,15564718-0906122,-2.1582074964599602,-0.3579998016357422,0.680999755859375,0.7577919160766609
2482910290191753728,17.374330389292147,-5.123726079101474,15.745358248407245,640.684,806.86646,806.7855670859365,-11.42680323082634,14.345863,15.708355,13.197234,2.5111208,0.034442842,1.0772519,G 270-155,PM*,9,12.395000457763672,11.97599983215332,WISEA,11.751999855041504,11.274999618530273,11.052000045776367,01092928-0507306,2.3698631678466793,0.41900062561035156,0.6999998092651367,2.5938631449584957
2482910290191753728,17.374330389292147,-5.123726079101474,15.745358248407245,640.684,806.86646,806.7855670859365,-11.42680323082634,14.345863,15.708355,13.197234,2.5111208,0.034442842,1.0772519,G 270-155,PM*,9,12.395000457763672,11.97599983215332,WISEA,11.751999855041504,11.274999618530273,11.052000045776367,01092928-0507306,2.3698631678466793,0.41900062561035156,0.6999998092651367,2.5938631449584957
2482910290191753728,17.374330389292147,-5.123726079101474,15.745358248407245,640.684,806.86646,806.7855670859365,-11.42680323082634,14.345863,15.708355,13.197234,2.5111208,0.034442842,1.0772519,G 270-155,PM*,9,12.395000457763672,11.97599983215332,WISEA,11.751999855041504,11.274999618530273,11.052000045776367,01092928-0507306,2.3698631678466793,0.41900062561035156,0.6999998092651367,2.5938631449584957
2482910290191753728,17.374330389292147,-5.123726079101474,15.745358248407245,640.684,806.86646,806.7855670859365,-11.42680323082634,14.345863,15.708355,13.197234,2.5111208,0.034442842,1.0772519,G 270-155,PM*,9,12.395000457763672,11.97599983215332,WISEA,11.751999855041504,11.274999618530273,11.052000045776367,01092928-0507306,2.3698631678466793,0.41900062561035156,0.6999998092651367,2.5938631449584957
