source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe
1571092684621762048,189.1711124023554,54.90680325149568,38.74182576338446,2527.0579,516.3175,-496.8901601200684,-140.29933466106039,13.315888,14.892897,12.098712,2.7941847,0.07563384,1.359038
1593596389107440128,222.97380265993334,51.78525061086232,30.740281638365467,1397.6937,539.87665,395.34121673375677,-367.65764816256785,14.742854,16.375105,13.511229,2.8638763,0.13160981,1.3016603
1611087248283201024,219.22599903132598,58.34545498649245,54.184387912122986,1537.5979,937.7499,615.4992750513319,-707.4853500081256,10.711102,12.017328,9.577968,2.4393606,0.41633767,1.668283
1618660993612812800,222.1967662842185,61.79636925001112,9.540680093666847,122.08488,986.22784,151.22325498322232,-974.5649615527575,17.671364,19.259056,16.464453,2.7946033,0.18833603,1.0345916
1638979384378696704,267.01612290514834,70.88157381434476,160.99524492008814,13535.128,1683.204,-1266.3871707976418,1108.8007104699252,13.778201,14.179064,13.176234,1.0028296,0.0,1.0637181
1648568843759668480,250.65736356631143,68.104056493154,41.36706800812415,2982.2793,511.20474,-282.9766174261249,425.73995511012004,7.3578506,7.7454815,6.7966433,0.94883823,0.105263345,0.9407745
1667320155577453568,217.64568143298322,63.64954437408736,15.887967798121743,1118.9678,852.73444,-292.0892569893123,-801.1491232654681,14.11406,14.9495,13.220754,1.7287464,0.0,0.98972267
1747060033065172736,321.04239685118193,13.298284179846288,16.304684828869124,1074.748,516.0906,-301.9866338366155,-418.51352612529456,12.232518,13.123703,11.298974,1.824729,0.06860863,1.125717
1766511046596516608,327.82601297863795,12.842565624311634,42.17778818005233,1678.5255,686.03546,666.9985899135327,160.49156230742102,12.210704,13.706972,11.011804,2.6951685,0.18407996,1.3833953
1872046609345556480,316.7484792940004,38.76386244649797,285.99494829578117,4774.757,5282.104,4164.2086922846665,3249.613883848584,4.766713,5.4397926,3.977203,1.4625897,0.5273935,1.2043179
1973261533758913280,328.66706665535594,44.719737702127055,25.826612055719053,1853.2538,557.0886,-422.77626766885845,-362.77808259199884,13.042905,14.442125,11.88235,2.5597754,0.10549323,1.4206262
1980862251489902848,326.64713390351164,51.79434557306886,7.032848482892378,177.24274,576.00323,435.4659180850366,377.02673872432604,16.472345,17.492493,15.470386,2.0221071,0.0,1.0016241
2088887447842531584,298.97339689106826,51.274347367000104,39.36815689767173,2931.1174,585.8766,472.26216352557196,346.72728266989475,11.004884,12.083815,9.970718,2.1130962,0.12387696,1.0419525
2161145393508289536,270.8729655733527,64.62325619970548,31.28799973035516,1419.9147,553.6316,-416.76100695339784,-364.44231219188555,15.12792,17.215942,13.792707,3.423235,0.15237361,1.0746863
