source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref,W1,W2,J,H,K,W1_W2,dist_pc,M_G,M_J
487032317657766144,56.6849834616929,62.6016676272826,30.287963808753688,186.78426,60.92812,1.962485575447016,60.89650442765553,18.354282,21.49447,16.794369,4.700102,0.8128522,1.0524124,2MASS J03464439+6236051,LM*,3,14.299,14.226,15.307000160217285,14.640000343322754,14.371999740600586,0.072999954,33.01641557399724,15.760632388396424,12.713350548613708
4962392573709868928,26.433777007279804,-37.500493941312,29.60465102921358,117.96405,436.25443,415.04386224033055,-134.37456771515815,18.53208,19.69281,15.088871,4.603939,0.86630195,0.9565289,SIPS J0145-3729B,PM*,0,18.599,17.279,12.442000389099121,11.86299991607666,11.427000045776367,1.3200016,33.77847619325794,15.888879730572594,9.798800119671714
1998109946788787456,359.3280395605171,57.46621918400399,29.536060467430005,196.77357,58.423008,-19.86082229164456,-54.94356740242253,17.948822,21.262629,16.414692,4.8479366,0.9339634,1.0617595,2MASS J23571877+5727593,LM*,3,15.695,16.265,16.503000259399414,15.616000175476074,16.547000885009766,-0.5699997,33.8569187689306,15.300584842260696,13.85476310166011
2198074999791010304,330.0312001727312,55.600951691064346,29.521635792582227,257.27756,97.23355,78.85339990802572,56.89028125155348,17.962532,21.122873,16.418898,4.7039757,0.6842788,0.9226737,2MASS J22000733+5536024,LM*,4,14.738,14.911,15.96399974822998,15.144000053405762,14.934000015258789,-0.17300034,33.87346172230963,15.313234090282387,13.314701838512368
231618966280159360,60.27779420879287,43.464272793211485,29.4306813223376,272.26978,78.93941,-68.94106652574604,-38.45204722688765,17.190792,19.915678,15.70215,4.2135277,0.3922677,0.9792446,2MASS J04010677+4327519,LM*,3,6.5,6.402,13.104999542236328,12.54800033569336,12.206000328063965,0.09800005,33.978146446817384,14.534793580818576,10.449001123054906
826275295988399232,144.87954814477422,49.86335298266656,29.280170479054306,366.6037,389.65768,-389.42857726598737,-13.359961414110312,17.236141,17.524088,16.765781,0.7583065,0.1530621,1.0632014,SDSS J093929.50+495200.5,G,1,18.442,17.842,16.246000289916992,15.48900032043457,14.866999626159668,0.6000004,34.152806614133425,14.569009005015278,13.57886829493227
2225409442971141120,344.014124330821,68.90212850815583,29.201968037449053,286.593,101.10436,95.6899217618803,32.64247019318353,17.967964,20.442364,16.375303,4.0670605,0.59260494,0.9824852,2MASS J22560310+6854072,LM*,3,16.965,17.209,14.269000053405762,13.697999954223633,13.640999794006348,-0.24399948,34.24426732874937,15.295024606386365,11.596060659792128
1686322048672412288,196.26097712671188,70.37922224317417,28.87973189858507,143.72954,286.08203,-252.4601354796105,134.56155102009842,19.330952,19.853327,18.71848,1.1348476,0.51306117,1.0630579,LEDA 2735820,G,2,17.961,17.18,,,,0.78100014,34.62636022770675,16.633917785986355,
435616199005050240,49.96511584235552,48.80578500696441,28.426888988961643,145.88867,230.87178,-207.6222621827104,-100.96917212635094,18.35845,21.259777,16.804716,4.455061,0.97975105,1.16902,LEDA 2797963,G,2,16.155,16.367,14.034000396728516,13.366999626159668,12.930000305175781,-0.2119999,35.177961274211434,15.627096667629901,11.302647064358416
2310240437249834496,2.760388074149243,-33.580039213295684,28.337118088890907,197.82922,97.74302,6.87217417914508,-97.50113086434156,17.440365,20.556194,15.940978,4.6152163,0.67627263,0.96112955,UCAC4 283-000224,PM*,2,8.927,8.796,13.343999862670898,12.661999702453613,12.321000099182129,0.13100052,35.289403702348736,14.70214340003459,10.605778262705488
